,id,standard_drug_name,gene,dataset,cancer_type,pvalue,effect_size,provided_pvalue,provided_effect_size,n_mut,n_wt,provided_n_mut,provided_n_wt
1259,43539129,3-Cl-AHPC,H1-2,All,pancan,0.870495,-0.163029,,,71,637,,
1260,43539130,3-Cl-AHPC,ERCC5,All,pancan,0.638074,0.470393,,,57,651,,
1261,43539131,3-Cl-AHPC,OR5AC2,All,pancan,0.787957,-0.268965,,,23,685,,
1262,43539132,3-Cl-AHPC,SLC25A21,All,pancan,0.149989,1.43957,,,20,688,,
1263,43539133,3-Cl-AHPC,COLEC10,All,pancan,0.804593,0.247408,,,25,683,,
1264,43539134,3-Cl-AHPC,RAD50,All,pancan,0.745064,-0.325155,,,51,657,,
1265,43539135,3-Cl-AHPC,ALPI,All,pancan,0.737428,0.335261,,,42,666,,
1266,43539136,3-Cl-AHPC,DCDC2C,All,pancan,0.748992,-0.319969,,,27,681,,
1267,43539137,3-Cl-AHPC,ARHGEF1,All,pancan,0.190193,-1.31001,,,32,676,,
1268,43539138,3-Cl-AHPC,B3GALT5,All,pancan,0.305117,1.02552,,,14,694,,
1269,43539139,3-Cl-AHPC,JPH3,All,pancan,0.0799778,-1.75082,,,41,667,,
1270,43539140,3-Cl-AHPC,TBK1,All,pancan,0.721832,0.356011,,,20,688,,
1271,43539141,3-Cl-AHPC,SCO1,All,pancan,0.0789375,-1.75688,,,18,690,,
1272,43539142,3-Cl-AHPC,CLN8,All,pancan,0.820413,-0.227014,,,14,694,,
1273,43539143,3-Cl-AHPC,TSEN2,All,pancan,0.320051,0.994354,,,19,689,,
1274,43539144,3-Cl-AHPC,CAPN13,All,pancan,0.552082,0.594643,,,45,663,,
1275,43539145,3-Cl-AHPC,UMPS,All,pancan,0.930049,0.0877835,,,16,692,,
1276,43539146,3-Cl-AHPC,FAM219B,All,pancan,0.985091,0.0186862,,,10,698,,
1277,43539147,3-Cl-AHPC,RTKN2,All,pancan,0.578535,-0.555526,,,40,668,,
1278,43539148,3-Cl-AHPC,DNAH3,All,pancan,0.794004,0.261114,,,182,526,,
1279,43539149,3-Cl-AHPC,TAF3,All,pancan,0.771582,0.290307,,,60,648,,
1280,43539150,3-Cl-AHPC,CENPB,All,pancan,0.119729,-1.55591,,,21,687,,
1281,43539151,3-Cl-AHPC,MRPL28,All,pancan,0.177482,-1.34855,,,25,683,,
1282,43539152,3-Cl-AHPC,GOLGA6L9,All,pancan,0.176118,-1.3528,,,11,697,,
1283,43539153,3-Cl-AHPC,SPATA2,All,pancan,0.00585265,2.75592,,,151,557,,
1284,43539154,3-Cl-AHPC,CTNNA3,All,pancan,0.522409,-0.639637,,,49,659,,
1285,43539155,3-Cl-AHPC,BAZ2A,All,pancan,0.274143,-1.09357,,,49,659,,
1286,43539156,3-Cl-AHPC,GRAMD1A,All,pancan,0.446245,-0.76169,,,30,678,,
1287,43539157,3-Cl-AHPC,DTX3L,All,pancan,0.696965,-0.38942,,,39,669,,
1288,43539158,3-Cl-AHPC,FOXK2,All,pancan,0.896752,-0.129766,,,31,677,,
1289,43539159,3-Cl-AHPC,ADM5,All,pancan,0.823061,0.22361,,,11,697,,
1290,43539160,3-Cl-AHPC,SRPK3,All,pancan,0.513168,0.653913,,,24,684,,
1291,43539161,3-Cl-AHPC,TNRC6C,All,pancan,0.603787,-0.518962,,,70,638,,
1292,43539162,3-Cl-AHPC,PTPN14,All,pancan,0.593935,-0.533143,,,69,639,,
1293,43539163,3-Cl-AHPC,KMT5C,All,pancan,0.995949,-0.00507696,,,24,684,,
1294,43539164,3-Cl-AHPC,ARG1,All,pancan,0.630451,0.481093,,,13,695,,
1295,43539165,3-Cl-AHPC,CCDC81,All,pancan,0.94642,-0.0672034,,,25,683,,
1296,43539166,3-Cl-AHPC,CSTL1,All,pancan,0.498193,-0.677336,,,23,685,,
1297,43539167,3-Cl-AHPC,GNL1,All,pancan,0.456692,-0.744305,,,16,692,,
1298,43539168,3-Cl-AHPC,NIPA1,All,pancan,0.616054,-0.501451,,,11,697,,
1299,43539169,3-Cl-AHPC,DCHS1,All,pancan,0.0271258,-2.2097,,,141,567,,
1300,43539170,3-Cl-AHPC,NEB,All,pancan,0.607452,0.513714,,,309,399,,
1301,43539171,3-Cl-AHPC,EWSR1,All,pancan,0.106911,-1.61223,,,21,687,,
1302,43539172,3-Cl-AHPC,CEP85,All,pancan,0.989866,0.0127008,,,26,682,,
1303,43539173,3-Cl-AHPC,ASB12,All,pancan,0.544684,-0.605745,,,22,686,,
1304,43539174,3-Cl-AHPC,OR8G1,All,pancan,0.771649,0.290219,,,25,683,,
1305,43539175,3-Cl-AHPC,EEF2,All,pancan,0.00513924,-2.79817,,,18,690,,
1306,43539176,3-Cl-AHPC,TMCC2,All,pancan,0.707035,0.375841,,,25,683,,
1307,43539177,3-Cl-AHPC,MCHR2,All,pancan,0.550952,-0.596335,,,35,673,,
1308,43539178,3-Cl-AHPC,IL9R,All,pancan,0.674124,0.420495,,,41,667,,
1309,43539179,3-Cl-AHPC,PLD1,All,pancan,0.915042,0.106681,,,94,614,,
1310,43539180,3-Cl-AHPC,PSG4,All,pancan,0.61489,0.503105,,,81,627,,
1311,43539181,3-Cl-AHPC,PXDNL,All,pancan,0.748848,-0.320159,,,111,597,,
1312,43539182,3-Cl-AHPC,CAST,All,pancan,0.140831,-1.4727,,,28,680,,
1313,43539183,3-Cl-AHPC,KCNQ5,All,pancan,0.505218,-0.666302,,,51,657,,
1314,43539184,3-Cl-AHPC,PDCD6,All,pancan,0.0949859,-1.66966,,,15,693,,
1315,43539185,3-Cl-AHPC,PRMT3,All,pancan,0.791704,0.264098,,,70,638,,
1316,43539186,3-Cl-AHPC,LEPR,All,pancan,0.741653,0.329665,,,43,665,,
1317,43539187,3-Cl-AHPC,FERMT2,All,pancan,0.513827,0.65289,,,27,681,,
1318,43539188,3-Cl-AHPC,P2RY8,All,pancan,0.197055,-1.28999,,,19,689,,
1319,43539189,3-Cl-AHPC,PLAAT1,All,pancan,0.356567,-0.921927,,,11,697,,
1320,43539190,3-Cl-AHPC,NAPRT,All,pancan,0.0102032,2.56887,,,27,681,,
1321,43539191,3-Cl-AHPC,MYH8,All,pancan,0.5214,-0.641188,,,106,602,,
1322,43539192,3-Cl-AHPC,NAV2,All,pancan,0.890282,0.137948,,,71,637,,
1323,43539193,3-Cl-AHPC,RGS11,All,pancan,0.277287,-1.08644,,,30,678,,
1324,43539194,3-Cl-AHPC,FAM13C,All,pancan,0.871917,0.161224,,,28,680,,
1325,43539195,3-Cl-AHPC,GUCY2F,All,pancan,0.257841,-1.13151,,,53,655,,
1326,43539196,3-Cl-AHPC,NIBAN2,All,pancan,0.034291,2.11663,,,41,667,,
1327,43539197,3-Cl-AHPC,SLC52A1,All,pancan,0.655907,-0.445571,,,12,696,,
1328,43539198,3-Cl-AHPC,RIN1,All,pancan,0.905631,0.118551,,,64,644,,
1329,43539199,3-Cl-AHPC,PGAM1,All,pancan,0.707542,-0.37516,,,11,697,,
1330,43539200,3-Cl-AHPC,WSB1,All,pancan,0.237642,1.1809,,,24,684,,
1331,43539201,3-Cl-AHPC,SEL1L,All,pancan,0.668933,0.427612,,,25,683,,
1332,43539202,3-Cl-AHPC,THG1L,All,pancan,0.0860158,-1.7168,,,12,696,,
1333,43539203,3-Cl-AHPC,HPD,All,pancan,0.491032,-0.688668,,,16,692,,
1334,43539204,3-Cl-AHPC,COG2,All,pancan,0.88679,0.142368,,,28,680,,
1335,43539205,3-Cl-AHPC,IZUMO1R,All,pancan,0.649379,0.454625,,,34,674,,
1336,43539206,3-Cl-AHPC,FOXH1,All,pancan,0.912627,-0.109726,,,19,689,,
1337,43539207,3-Cl-AHPC,SCN11A,All,pancan,0.0297177,2.17383,,,115,593,,
1338,43539208,3-Cl-AHPC,PHF3,All,pancan,0.325601,-0.983014,,,90,618,,
1339,43539209,3-Cl-AHPC,USP28,All,pancan,0.159009,-1.40841,,,58,650,,
1340,43539210,3-Cl-AHPC,VNN2,All,pancan,0.392369,-0.855329,,,27,681,,
1341,43539211,3-Cl-AHPC,CREB3L2,All,pancan,0.572071,-0.565005,,,18,690,,
1342,43539212,3-Cl-AHPC,TEKT5,All,pancan,0.691096,0.397368,,,43,665,,
1343,43539213,3-Cl-AHPC,SPATA32,All,pancan,0.902308,0.122746,,,14,694,,
1344,43539214,3-Cl-AHPC,GRAMD1B,All,pancan,0.596719,-0.529124,,,27,681,,
1345,43539215,3-Cl-AHPC,HACL1,All,pancan,0.976869,-0.0289949,,,19,689,,
1346,43539216,3-Cl-AHPC,LARGE1,All,pancan,0.972533,0.0344315,,,33,675,,
1347,43539217,3-Cl-AHPC,SRCAP,All,pancan,0.509513,0.659596,,,109,599,,
1348,43539218,3-Cl-AHPC,BHLHE41,All,pancan,0.478666,-0.70845,,,16,692,,
1349,43539219,3-Cl-AHPC,ATXN3,All,pancan,0.898665,-0.127348,,,16,692,,
1350,43539220,3-Cl-AHPC,GPR87,All,pancan,0.966311,-0.0422351,,,14,694,,
1351,43539221,3-Cl-AHPC,NIF3L1,All,pancan,0.505574,0.665745,,,19,689,,
1352,43539222,3-Cl-AHPC,IFNW1,All,pancan,0.0626032,-1.862,,,16,692,,
1353,43539223,3-Cl-AHPC,IGSF9B,All,pancan,0.976795,-0.029087,,,76,632,,
1354,43539224,3-Cl-AHPC,HYOU1,All,pancan,0.669766,-0.42647,,,39,669,,
1355,43539225,3-Cl-AHPC,ACSBG2,All,pancan,0.129193,-1.51729,,,36,672,,
1356,43539226,3-Cl-AHPC,SULT2B1,All,pancan,0.0604024,1.87784,,,19,689,,
1357,43539227,3-Cl-AHPC,MBL2,All,pancan,0.227686,-1.20634,,,14,694,,
1358,43539228,3-Cl-AHPC,SRA1,All,pancan,0.271703,-1.09915,,,16,692,,
1359,43539229,3-Cl-AHPC,FES,All,pancan,0.0274091,-2.20564,,,39,669,,
1360,43539230,3-Cl-AHPC,CLIC1,All,pancan,0.413036,-0.818563,,,15,693,,
1361,43539231,3-Cl-AHPC,C19orf12,All,pancan,0.394344,0.851765,,,42,666,,
1362,43539232,3-Cl-AHPC,INPP1,All,pancan,0.198362,1.28623,,,10,698,,
1363,43539233,3-Cl-AHPC,ZNF688,All,pancan,0.135004,-1.49466,,,19,689,,
1364,43539234,3-Cl-AHPC,FEZF2,All,pancan,0.582084,0.550343,,,24,684,,
1365,43539235,3-Cl-AHPC,QSOX2,All,pancan,0.321417,-0.991549,,,29,679,,
1366,43539236,3-Cl-AHPC,CFAP58,All,pancan,0.843209,0.197791,,,59,649,,
1367,43539237,3-Cl-AHPC,PPP1R15B,All,pancan,0.16536,-1.38727,,,47,661,,
1368,43539238,3-Cl-AHPC,PRAMEF14,All,pancan,0.344492,-0.945327,,,25,683,,
1369,43539239,3-Cl-AHPC,CADPS,All,pancan,0.113229,-1.58384,,,51,657,,
1370,43539240,3-Cl-AHPC,SPEG,All,pancan,0.548725,0.599672,,,148,560,,
1371,43539241,3-Cl-AHPC,CATSPERB,All,pancan,0.217939,1.23203,,,40,668,,
1372,43539242,3-Cl-AHPC,THADA,All,pancan,0.293511,-1.05045,,,95,613,,
1373,43539243,3-Cl-AHPC,PPP2R5D,All,pancan,0.960262,-0.0498242,,,12,696,,
1374,43539244,3-Cl-AHPC,OR10G4,All,pancan,0.111059,-1.59345,,,17,691,,
1375,43539245,3-Cl-AHPC,ZNF77,All,pancan,0.588273,0.541341,,,32,676,,
1376,43539246,3-Cl-AHPC,SLC6A19,All,pancan,0.913735,-0.108329,,,39,669,,
1377,43539247,3-Cl-AHPC,DLST,All,pancan,0.789024,0.267578,,,13,695,,
1378,43539248,3-Cl-AHPC,THAP9,All,pancan,0.21949,-1.22788,,,36,672,,
1379,43539249,3-Cl-AHPC,CNOT3,All,pancan,0.175098,-1.35601,,,32,676,,
1380,43539250,3-Cl-AHPC,RSPH9,All,pancan,0.798667,0.255072,,,17,691,,
1381,43539251,3-Cl-AHPC,ROCK1,All,pancan,0.0226402,-2.27945,,,49,659,,
1382,43539252,3-Cl-AHPC,APH1B,All,pancan,0.709046,0.373137,,,21,687,,
1383,43539253,3-Cl-AHPC,CTDSP1,All,pancan,0.247825,-1.15565,,,20,688,,
1384,43539254,3-Cl-AHPC,KIF22,All,pancan,0.725827,-0.350682,,,31,677,,
1385,43539255,3-Cl-AHPC,ASB13,All,pancan,0.378454,0.880749,,,13,695,,
1386,43539256,3-Cl-AHPC,SPATA9,All,pancan,0.494226,-0.683604,,,10,698,,
1387,43539257,3-Cl-AHPC,KCP,All,pancan,0.359721,0.915897,,,19,689,,
1388,43539258,3-Cl-AHPC,POTEE,All,pancan,0.194997,-1.29594,,,48,660,,
1389,43539259,3-Cl-AHPC,SPACA9,All,pancan,0.860997,0.175105,,,18,690,,
1390,43539260,3-Cl-AHPC,TAF4B,All,pancan,0.163525,1.39331,,,37,671,,
1391,43539261,3-Cl-AHPC,CSF2RA,All,pancan,0.66664,-0.430763,,,36,672,,
1392,43539262,3-Cl-AHPC,GABRP,All,pancan,0.851295,-0.187466,,,42,666,,
1393,43539263,3-Cl-AHPC,PDGFC,All,pancan,0.294876,-1.04749,,,28,680,,
1394,43539264,3-Cl-AHPC,INTS6L,All,pancan,0.256186,-1.13545,,,35,673,,
1395,43539265,3-Cl-AHPC,CTTNBP2,All,pancan,0.916567,0.104759,,,79,629,,
1396,43539266,3-Cl-AHPC,GLRA4,All,pancan,0.0381457,-2.07329,,,28,680,,
1397,43539267,3-Cl-AHPC,SCTR,All,pancan,0.1016,1.63715,,,51,657,,
1398,43539268,3-Cl-AHPC,NAGS,All,pancan,0.47015,-0.722235,,,22,686,,
1399,43539269,3-Cl-AHPC,OR2J2,All,pancan,0.217554,1.23306,,,25,683,,
1400,43539270,3-Cl-AHPC,PIK3C3,All,pancan,0.10167,1.63681,,,24,684,,
1401,43539271,3-Cl-AHPC,REG4,All,pancan,0.856532,-0.180791,,,12,696,,
1402,43539272,3-Cl-AHPC,HTR3C,All,pancan,0.475722,-0.7132,,,26,682,,
1403,43539273,3-Cl-AHPC,ZNF468,All,pancan,0.783896,0.274245,,,39,669,,
1404,43539274,3-Cl-AHPC,ARHGAP17,All,pancan,0.310614,-1.01393,,,49,659,,
1405,43539275,3-Cl-AHPC,SEH1L,All,pancan,0.441256,0.770074,,,15,693,,
1406,43539276,3-Cl-AHPC,RDH11,All,pancan,0.781705,0.277098,,,11,697,,
1407,43539277,3-Cl-AHPC,KIT,All,pancan,0.991967,-0.0100677,,,39,669,,
1408,43539278,3-Cl-AHPC,DOCK7,All,pancan,0.544403,-0.606168,,,106,602,,
1409,43539279,3-Cl-AHPC,TMEM234,All,pancan,0.625976,0.487398,,,10,698,,
1410,43539280,3-Cl-AHPC,SHC3,All,pancan,0.217102,-1.23427,,,19,689,,
1411,43539281,3-Cl-AHPC,MOGAT3,All,pancan,0.90099,0.124411,,,15,693,,
1412,43539282,3-Cl-AHPC,KLK1,All,pancan,0.847456,-0.192365,,,27,681,,
1413,43539283,3-Cl-AHPC,PAK5,All,pancan,0.849626,-0.189595,,,29,679,,
1414,43539284,3-Cl-AHPC,ANGPTL5,All,pancan,0.751497,0.316667,,,32,676,,
1415,43539285,3-Cl-AHPC,RECK,All,pancan,0.951133,-0.061284,,,28,680,,
1416,43539286,3-Cl-AHPC,TRIM28,All,pancan,0.0520907,-1.94238,,,37,671,,
1417,43539287,3-Cl-AHPC,H2BC12,All,pancan,0.227356,-1.2072,,,11,697,,
1418,43539288,3-Cl-AHPC,SLC37A3,All,pancan,0.685709,0.404686,,,29,679,,
1419,43539289,3-Cl-AHPC,ACADS,All,pancan,0.994735,-0.00659924,,,14,694,,
1420,43539290,3-Cl-AHPC,SCN4A,All,pancan,0.00672072,-2.71037,,,99,609,,
1421,43539291,3-Cl-AHPC,RPF1,All,pancan,0.936643,0.0794893,,,11,697,,
1422,43539292,3-Cl-AHPC,KCTD20,All,pancan,0.735715,-0.337534,,,16,692,,
1423,43539293,3-Cl-AHPC,RBM45,All,pancan,0.647724,0.456926,,,24,684,,
1424,43539294,3-Cl-AHPC,MRPS5,All,pancan,0.153228,-1.42822,,,13,695,,
1425,43539295,3-Cl-AHPC,EVC,All,pancan,0.76561,-0.298122,,,43,665,,
1426,43539296,3-Cl-AHPC,ARSI,All,pancan,0.115723,-1.57298,,,27,681,,
1427,43539297,3-Cl-AHPC,UPK1A,All,pancan,0.279187,-1.08215,,,18,690,,
1428,43539298,3-Cl-AHPC,NOX3,All,pancan,0.281497,-1.07696,,,35,673,,
1429,43539299,3-Cl-AHPC,FBF1,All,pancan,0.824528,0.221725,,,59,649,,
1430,43539300,3-Cl-AHPC,APEX1,All,pancan,0.45852,0.741286,,,35,673,,
1431,43539301,3-Cl-AHPC,SKAP1,All,pancan,0.555086,-0.590156,,,15,693,,
1432,43539302,3-Cl-AHPC,ERMARD,All,pancan,0.41162,-0.821047,,,38,670,,
1433,43539303,3-Cl-AHPC,ARNTL2,All,pancan,0.904673,-0.11976,,,13,695,,
1434,43539304,3-Cl-AHPC,HOXB1,All,pancan,0.234938,-1.18774,,,17,691,,
1435,43539305,3-Cl-AHPC,C4orf50,All,pancan,0.166294,-1.38421,,,23,685,,
1436,43539306,3-Cl-AHPC,RCVRN,All,pancan,0.513547,0.653324,,,14,694,,
1437,43539307,3-Cl-AHPC,RREB1,All,pancan,0.364549,-0.906731,,,78,630,,
1438,43539308,3-Cl-AHPC,ZNF491,All,pancan,0.274132,-1.0936,,,37,671,,
1439,43539309,3-Cl-AHPC,MRI1,All,pancan,0.0557093,-1.9133,,,40,668,,
1440,43539310,3-Cl-AHPC,FRMD1,All,pancan,0.107809,-1.60812,,,26,682,,
1441,43539311,3-Cl-AHPC,ERN2,All,pancan,0.0532286,-1.93306,,,45,663,,
1442,43539312,3-Cl-AHPC,ADAMTSL4,All,pancan,0.914989,0.106748,,,102,606,,
1443,43539313,3-Cl-AHPC,RMDN2,All,pancan,0.0619127,-1.86692,,,36,672,,
1444,43539314,3-Cl-AHPC,PSIP1,All,pancan,0.111935,-1.58956,,,26,682,,
1445,43539315,3-Cl-AHPC,CNOT9,All,pancan,0.368168,-0.89991,,,13,695,,
1446,43539316,3-Cl-AHPC,CD36,All,pancan,0.0525288,1.93877,,,72,636,,
1447,43539317,3-Cl-AHPC,XKR5,All,pancan,0.169069,-1.3752,,,49,659,,
1448,43539318,3-Cl-AHPC,GJA4,All,pancan,0.121027,-1.55048,,,20,688,,
1449,43539319,3-Cl-AHPC,LYPD3,All,pancan,0.974856,0.0315189,,,18,690,,
1450,43539320,3-Cl-AHPC,FAM76A,All,pancan,0.266882,1.11027,,,10,698,,
1451,43539321,3-Cl-AHPC,HTR1E,All,pancan,0.585299,0.545662,,,20,688,,
1452,43539322,3-Cl-AHPC,MTX1,All,pancan,0.62269,0.492042,,,13,695,,
1453,43539323,3-Cl-AHPC,NKD1,All,pancan,0.45577,0.74583,,,15,693,,
1454,43539324,3-Cl-AHPC,ARSG,All,pancan,0.747827,-0.321506,,,28,680,,
1455,43539325,3-Cl-AHPC,TSPYL2,All,pancan,0.0993164,-1.64818,,,26,682,,
1456,43539326,3-Cl-AHPC,GNAS,All,pancan,0.964508,-0.0444968,,,87,621,,
1457,43539327,3-Cl-AHPC,MBIP,All,pancan,0.973913,0.0327009,,,10,698,,
1458,43539328,3-Cl-AHPC,TCF25,All,pancan,0.873168,0.159636,,,30,678,,
1459,43539329,3-Cl-AHPC,CT45A10,All,pancan,0.277075,1.08691,,,10,698,,
1460,43539330,3-Cl-AHPC,SLC12A1,All,pancan,0.791805,0.263967,,,71,637,,
1461,43539331,3-Cl-AHPC,SMG6,All,pancan,0.562778,-0.57872,,,56,652,,
1462,43539332,3-Cl-AHPC,GPR174,All,pancan,0.36023,0.914926,,,16,692,,
1463,43539333,3-Cl-AHPC,SLC18A2,All,pancan,0.250912,-1.14814,,,32,676,,
1464,43539334,3-Cl-AHPC,INSL6,All,pancan,0.00777324,-2.66176,,,20,688,,
1465,43539335,3-Cl-AHPC,CCT8L2,All,pancan,0.47096,-0.720918,,,46,662,,
1466,43539336,3-Cl-AHPC,ATP8B4,All,pancan,0.681445,0.410492,,,77,631,,
1467,43539337,3-Cl-AHPC,MRPL49,All,pancan,0.565723,0.574362,,,17,691,,
1468,43539338,3-Cl-AHPC,PNPLA2,All,pancan,0.500317,-0.67399,,,17,691,,
1469,43539339,3-Cl-AHPC,MTAP,All,pancan,0.687866,-0.401753,,,10,698,,
1470,43539340,3-Cl-AHPC,THBD,All,pancan,0.475589,0.713415,,,29,679,,
1471,43539341,3-Cl-AHPC,RPL3,All,pancan,0.432324,0.78522,,,20,688,,
1472,43539342,3-Cl-AHPC,NFASC,All,pancan,0.160658,1.40286,,,65,643,,
1473,43539343,3-Cl-AHPC,CHRDL2,All,pancan,0.407368,-0.828535,,,33,675,,
1474,43539344,3-Cl-AHPC,ARMH1,All,pancan,0.401289,-0.839322,,,10,698,,
1475,43539345,3-Cl-AHPC,CDK5RAP3,All,pancan,0.300295,-1.0358,,,32,676,,
1476,43539346,3-Cl-AHPC,RAB11FIP3,All,pancan,0.192806,-1.30232,,,26,682,,
1477,43539347,3-Cl-AHPC,GRAP2,All,pancan,0.807161,0.24409,,,23,685,,
1478,43539348,3-Cl-AHPC,RAB19,All,pancan,0.34506,-0.944214,,,11,697,,
1479,43539349,3-Cl-AHPC,AMIGO3,All,pancan,0.576041,0.559178,,,23,685,,
1480,43539350,3-Cl-AHPC,DCHS2,All,pancan,0.217714,-1.23263,,,164,544,,
1481,43539351,3-Cl-AHPC,LBHD1,All,pancan,0.583583,0.548158,,,13,695,,
1482,43539352,3-Cl-AHPC,EEPD1,All,pancan,0.197188,-1.28961,,,51,657,,
1483,43539353,3-Cl-AHPC,TPST2,All,pancan,0.0910135,-1.69008,,,11,697,,
1484,43539354,3-Cl-AHPC,ANOS1,All,pancan,0.242927,1.1677,,,24,684,,
1485,43539355,3-Cl-AHPC,INPP4A,All,pancan,0.00223441,-3.05717,,,36,672,,
1486,43539356,3-Cl-AHPC,MBTPS1,All,pancan,0.380297,-0.877349,,,33,675,,
1487,43539357,3-Cl-AHPC,IGHV3OR16-9,All,pancan,0.00648146,2.72237,,,15,693,,
1488,43539358,3-Cl-AHPC,FOXD3,All,pancan,0.229016,-1.2029,,,12,696,,
1489,43539359,3-Cl-AHPC,DAO,All,pancan,0.648829,0.45539,,,19,689,,
1490,43539360,3-Cl-AHPC,SIPA1,All,pancan,0.333868,-0.966352,,,66,642,,
1491,43539361,3-Cl-AHPC,CELF2,All,pancan,0.000512031,-3.47438,,,17,691,,
1492,43539362,3-Cl-AHPC,HSD17B3,All,pancan,0.294538,1.04822,,,11,697,,
1493,43539363,3-Cl-AHPC,ZNF460,All,pancan,0.191283,1.30679,,,21,687,,
1494,43539364,3-Cl-AHPC,MRPS31,All,pancan,0.565397,0.574844,,,15,693,,
1495,43539365,3-Cl-AHPC,WDR36,All,pancan,0.68983,0.399085,,,39,669,,
1496,43539366,3-Cl-AHPC,NKX2-5,All,pancan,0.152834,-1.42959,,,13,695,,
1497,43539367,3-Cl-AHPC,SDHA,All,pancan,0.605505,-0.5165,,,70,638,,
1498,43539368,3-Cl-AHPC,ATP13A4,All,pancan,0.362436,0.910734,,,38,670,,
1499,43539369,3-Cl-AHPC,CTNND2,All,pancan,0.931344,-0.0861536,,,55,653,,
1500,43539370,3-Cl-AHPC,KNSTRN,All,pancan,0.411949,0.820469,,,21,687,,
1501,43539371,3-Cl-AHPC,SLC1A2,All,pancan,0.296071,-1.0449,,,17,691,,
1502,43539372,3-Cl-AHPC,RFWD3,All,pancan,0.39135,0.857173,,,31,677,,
1503,43539373,3-Cl-AHPC,UGDH,All,pancan,0.198543,-1.28571,,,26,682,,
1504,43539374,3-Cl-AHPC,STX16,All,pancan,0.120293,-1.55355,,,22,686,,
1505,43539375,3-Cl-AHPC,SLITRK2,All,pancan,0.989305,0.0134042,,,116,592,,
1506,43539376,3-Cl-AHPC,RBM44,All,pancan,0.141159,-1.47149,,,49,659,,
1507,43539377,3-Cl-AHPC,NAMPT,All,pancan,0.791132,-0.26484,,,13,695,,
1508,43539378,3-Cl-AHPC,MED12L,All,pancan,0.846836,0.193156,,,75,633,,
1509,43539379,3-Cl-AHPC,FAT4,All,pancan,0.312556,-1.00987,,,199,509,,
1510,43539380,3-Cl-AHPC,DMGDH,All,pancan,0.357956,0.919266,,,41,667,,
1511,43539381,3-Cl-AHPC,RPL10L,All,pancan,0.893207,0.134247,,,18,690,,
1512,43539382,3-Cl-AHPC,NIPAL4,All,pancan,0.148336,-1.44543,,,21,687,,
1513,43539383,3-Cl-AHPC,AMBRA1,All,pancan,0.940868,0.0741795,,,47,661,,
1514,43539384,3-Cl-AHPC,EVPL,All,pancan,0.919153,0.101501,,,90,618,,
1515,43539385,3-Cl-AHPC,CABLES1,All,pancan,0.0242993,-2.25236,,,21,687,,
1516,43539386,3-Cl-AHPC,LRRC17,All,pancan,0.0734171,-1.79023,,,31,677,,
1517,43539387,3-Cl-AHPC,HPSE,All,pancan,0.629851,-0.481936,,,17,691,,
1518,43539388,3-Cl-AHPC,PTGFRN,All,pancan,0.294961,-1.0473,,,32,676,,
1519,43539389,3-Cl-AHPC,P4HA3,All,pancan,0.422653,0.801827,,,30,678,,
1520,43539390,3-Cl-AHPC,ZNF703,All,pancan,0.0806904,-1.74669,,,12,696,,
1521,43539391,3-Cl-AHPC,SLC14A2,All,pancan,0.265455,1.11359,,,45,663,,
1522,43539392,3-Cl-AHPC,SLC9A1,All,pancan,0.0459055,-1.99626,,,24,684,,
1523,43539393,3-Cl-AHPC,PABPC1,All,pancan,0.402749,0.836721,,,29,679,,
1524,43539394,3-Cl-AHPC,KCNF1,All,pancan,0.157607,-1.41317,,,13,695,,
1525,43539395,3-Cl-AHPC,HNRNPK,All,pancan,0.150092,-1.43921,,,12,696,,
1526,43539396,3-Cl-AHPC,TMEM130,All,pancan,0.940033,0.075228,,,26,682,,
1527,43539397,3-Cl-AHPC,KRT27,All,pancan,0.775335,-0.285404,,,21,687,,
1528,43539398,3-Cl-AHPC,IQSEC3,All,pancan,0.147669,-1.44781,,,53,655,,
1529,43539399,3-Cl-AHPC,TMEM88,All,pancan,0.780176,-0.27909,,,60,648,,
1530,43539400,3-Cl-AHPC,ACP4,All,pancan,0.828633,-0.216455,,,14,694,,
1531,43539401,3-Cl-AHPC,PPP2R2C,All,pancan,0.162378,-1.39712,,,16,692,,
1532,43539402,3-Cl-AHPC,AP4B1,All,pancan,0.813659,0.235708,,,28,680,,
1533,43539403,3-Cl-AHPC,SH3BP4,All,pancan,0.286492,-1.06585,,,63,645,,
1534,43539404,3-Cl-AHPC,FOLH1,All,pancan,0.0559476,-1.91144,,,43,665,,
1535,43539405,3-Cl-AHPC,CD86,All,pancan,0.00513916,2.79818,,,20,688,,
1536,43539406,3-Cl-AHPC,ORAI1,All,pancan,0.494636,0.682954,,,31,677,,
1537,43539407,3-Cl-AHPC,ZNF335,All,pancan,0.234101,-1.18986,,,49,659,,
1538,43539408,3-Cl-AHPC,CHPF,All,pancan,0.402911,-0.836434,,,36,672,,
1539,43539409,3-Cl-AHPC,AFAP1L1,All,pancan,0.328276,-0.977593,,,33,675,,
1540,43539410,3-Cl-AHPC,INSC,All,pancan,0.748506,-0.32061,,,50,658,,
1541,43539411,3-Cl-AHPC,MYO1H,All,pancan,0.758073,-0.308012,,,71,637,,
1542,43539412,3-Cl-AHPC,PGLYRP4,All,pancan,0.785314,0.272401,,,33,675,,
1543,43539413,3-Cl-AHPC,NOB1,All,pancan,0.587409,-0.542594,,,23,685,,
1544,43539414,3-Cl-AHPC,HIP1,All,pancan,0.947395,0.0659788,,,60,648,,
