,id,standard_drug_name,gene,dataset,cancer_type,pvalue,effect_size,provided_pvalue,provided_effect_size,n_mut,n_wt,provided_n_mut,provided_n_wt
64,43537934,3-Cl-AHPC,ZFP42,All,pancan,0.591413,0.536789,,,20,688,,
65,43537935,3-Cl-AHPC,RAD51C,All,pancan,0.0784836,-1.75955,,,26,682,,
66,43537936,3-Cl-AHPC,AWAT1,All,pancan,0.193836,-1.29932,,,11,697,,
67,43537937,3-Cl-AHPC,CHST13,All,pancan,0.769517,-0.293006,,,14,694,,
68,43537938,3-Cl-AHPC,PIGG,All,pancan,0.427453,-0.793557,,,53,655,,
69,43537939,3-Cl-AHPC,SNRK,All,pancan,0.811583,0.238385,,,26,682,,
70,43537940,3-Cl-AHPC,KLK11,All,pancan,0.771436,-0.290497,,,40,668,,
71,43537941,3-Cl-AHPC,MXRA7,All,pancan,0.70288,-0.381436,,,14,694,,
72,43537942,3-Cl-AHPC,RNF180,All,pancan,0.129665,-1.51542,,,22,686,,
73,43537943,3-Cl-AHPC,C2orf42,All,pancan,0.0662565,-1.83668,,,55,653,,
74,43537944,3-Cl-AHPC,IGHD,All,pancan,0.903306,0.121486,,,38,670,,
75,43537945,3-Cl-AHPC,LOXL4,All,pancan,0.3774,-0.882696,,,46,662,,
76,43537946,3-Cl-AHPC,MC2R,All,pancan,0.764923,-0.299023,,,23,685,,
77,43537947,3-Cl-AHPC,RPGRIP1,All,pancan,0.547943,0.600846,,,52,656,,
78,43537948,3-Cl-AHPC,JAK2,All,pancan,0.504886,-0.666821,,,30,678,,
79,43537949,3-Cl-AHPC,CTU2,All,pancan,0.00707555,-2.69327,,,50,658,,
80,43537950,3-Cl-AHPC,DOCK9,All,pancan,0.0213678,-2.30142,,,46,662,,
81,43537951,3-Cl-AHPC,SLC6A17,All,pancan,0.153637,-1.4268,,,39,669,,
82,43537952,3-Cl-AHPC,MTMR12,All,pancan,0.115148,-1.57547,,,28,680,,
83,43537953,3-Cl-AHPC,ZNF776,All,pancan,0.200911,-1.27896,,,17,691,,
84,43537954,3-Cl-AHPC,KIF7,All,pancan,0.00622278,-2.73581,,,72,636,,
85,43537955,3-Cl-AHPC,PHLDB3,All,pancan,0.993036,-0.00872808,,,53,655,,
86,43537956,3-Cl-AHPC,ZSCAN20,All,pancan,0.386092,-0.866725,,,51,657,,
87,43537957,3-Cl-AHPC,GJA3,All,pancan,0.731478,0.34316,,,14,694,,
88,43537958,3-Cl-AHPC,AGPAT4,All,pancan,0.573865,0.562368,,,11,697,,
89,43537959,3-Cl-AHPC,BICD1,All,pancan,0.772847,-0.288653,,,21,687,,
