,standard_drug_name,cellosaurus_id,dataset,info,n_dosage,min_dosage,max_dosage,IC50,IC90,EC50,Einf,AUC,fitted_mae
353,ABT737,HCC1588,All,CTRP2,16,0.0011,37.0,4.77963,11.2178,1.83998,0.536607,14.8549,0.0383744
354,ABT737,HCC2279,All,CTRP2,16,0.0011,37.0,3.41668,11.2025,0.613356,0.623854,22.4858,0.049175
355,ABT737,NALM-6,All,"CTRP2,GDSC2",23,0.0011,37.0,-0.72132,3.14147,-0.837861,0.966867,39.7676,0.0562397
356,ABT737,TT,All,"CTRP2,GDSC2",23,0.0011,37.0,7.69385,16.1854,1.62862,0.344603,10.584,0.0498361
357,ABT737,HMC-1-8,All,CTRP2,16,0.0011,37.0,6.20437,8.26684,4.40885,0.257324,1.85699,0.0486472
358,ABT737,KYSE-180,All,"CTRP2,GDSC2",23,0.0011,37.0,6.84553,14.3054,1.94242,0.381807,10.6931,0.0796773
359,ABT737,MELHO,All,CTRP2,16,0.0011,37.0,9.39227,16.0491,2.75072,0.200907,4.48315,0.0195162
360,ABT737,MHH-ES-1,All,"CTRP2,GDSC2",24,0.0011,37.0,11.9125,25.7238,-0.145858,0.256093,11.071,0.0698108
361,ABT737,MOR/CPR,All,CTRP2,16,0.0011,37.0,6.5025,7.46171,4.89571,0.0491745,0.146385,0.0286034
362,ABT737,HEL,All,CTRP2,14,0.0011,37.0,2.46808,7.50167,1.38504,0.767927,22.1818,0.163303
363,ABT737,JURKAT,All,"CTRP2,GDSC2",21,0.0011,37.0,6.7664,14.2945,1.89012,0.388309,11.0201,0.191006
364,ABT737,JVM-2,All,"CTRP2,GDSC2",21,0.0011,37.0,-6.10066,2.91343,-6.59106,0.940301,67.6515,0.131633
365,ABT737,KCL-22,All,"CTRP2,GDSC2",23,0.0011,37.0,7.51235,15.9773,1.60303,0.354857,10.9458,0.119809
366,ABT737,KE-39,All,CTRP2,16,0.0011,37.0,4.34714,9.6224,2.24873,0.588839,14.1463,0.0436759
367,ABT737,KM-H2,All,"CTRP2,GDSC2",21,0.0011,37.0,7.59326,13.5545,2.81692,0.293462,6.23805,0.0636371
368,ABT737,LAMA-84,All,"CTRP2,GDSC2",21,0.0011,37.0,7.53901,9.17988,4.6755,0.0423133,0.214708,0.158258
369,ABT737,SNU-719,All,CTRP2,16,0.0011,37.0,3.36472,12.5314,-0.0833369,0.608777,24.8863,0.108673
370,ABT737,KMS-26,All,CTRP2,16,0.0011,37.0,5.85079,8.73573,3.94804,0.380258,4.17746,0.061626
371,ABT737,KMS-27,All,CTRP2,16,0.0011,37.0,-6.48917,-4.05912,-6.48923,0.999975,77.4446,0.053766
372,ABT737,NCI-H1838,All,"CTRP2,GDSC2",23,0.0011,37.0,3.15406,6.6517,2.45656,0.784351,16.2364,0.0643559
373,ABT737,NCI-H196,All,"CTRP2,GDSC2",23,0.0011,37.0,8.18817,16.1412,1.98208,0.305139,8.59721,0.0368806
374,ABT737,NCI-H292,All,CTRP2,16,0.0011,37.0,6.87526,10.6506,3.72011,0.274981,3.67344,0.0414676
375,ABT737,HCC1937,All,"CTRP2,GDSC2",23,0.0011,37.0,3.33262,8.80934,1.67835,0.679826,18.7934,0.0682924
376,ABT737,HDLM-2,All,"CTRP2,GDSC2",23,0.0011,37.0,-2.15941,1.90739,-2.22724,0.98168,49.0363,0.0526565
377,ABT737,HUH-28,All,CTRP2,16,0.0011,37.0,-0.00583056,6.44266,-0.860997,0.85533,37.056,0.0805032
378,ABT737,MV4-11,All,"CTRP2,GDSC2",23,0.0011,37.0,-6.81669,-4.5979,-6.8167,0.999993,79.6412,0.0826237
379,ABT737,NCI-H526,All,"CTRP2,GDSC2",23,0.0011,37.0,1.71269,12.5305,-1.65806,0.670453,33.3437,0.17994
380,ABT737,NCI-H69,All,"CTRP2,GDSC2",23,0.0011,37.0,-0.685325,2.84191,-0.764946,0.975206,39.4321,0.0724262
381,ABT737,NCI-H929,All,"CTRP2,GDSC2",23,0.0011,37.0,6.56458,8.18181,4.64309,0.136919,0.720708,0.101676
382,ABT737,NCI-N87,All,"CTRP2,GDSC2",23,0.0011,37.0,2.36372,7.6645,1.2076,0.764873,23.1221,0.0891067
383,ABT737,PF-382,All,"CTRP2,GDSC2",23,0.0011,37.0,-0.371132,1.78564,-0.377775,0.996616,37.1322,0.0699826
384,ABT737,SNU-1272,All,CTRP2,16,0.0011,37.0,8.08209,19.4936,0.296768,0.365143,14.6112,0.0332259
385,ABT737,SNU-308,All,CTRP2,16,0.0011,37.0,5.71733,10.5138,2.96773,0.442098,8.4598,0.0635096
386,ABT737,SNU-478,All,CTRP2,16,0.0011,37.0,7.24052,10.6185,3.95127,0.210635,2.41799,0.0663966
387,ABT737,BHT-101,All,"CTRP2,GDSC2",22,0.0011,37.0,6.46089,12.617,2.48981,0.390155,9.15872,0.101172
388,ABT737,CAL-148,All,"CTRP2,GDSC2",23,0.0011,37.0,7.67163,20.2883,-0.389368,0.394414,17.3809,0.0964939
389,ABT737,CAL-51,All,"CTRP2,GDSC2",23,0.0011,37.0,5.35079,9.168,3.3467,0.479672,7.54557,0.0509364
390,ABT737,HCC1395,All,"CTRP2,GDSC2",23,0.0011,37.0,8.6039,17.2418,1.73235,0.29662,8.95911,0.0576929
391,ABT737,LN-18,All,"CTRP2,GDSC2",21,0.0011,18.0,5.95709,7.0071,3.83304,0.0232077,0.0801614,0.099069
392,ABT737,NCI-H1734,All,CTRP2,14,0.0011,18.0,2.60031,10.6939,-0.477491,0.604945,23.5529,0.0403616
393,ABT737,NCI-H2291,All,CTRP2,14,0.0011,18.0,4.88023,11.1348,1.2603,0.437939,11.6004,0.10733
394,ABT737,RERF-LC-AD1,All,CTRP2,14,0.0011,18.0,6.81451,16.8513,-0.124866,0.359176,13.6786,0.0560014
395,ABT737,SNU-1214,All,CTRP2,14,0.0011,18.0,5.27827,13.5315,0.377696,0.426763,14.455,0.0512131
396,ABT737,SNU-46,All,CTRP2,14,0.0011,18.0,6.70758,12.0195,2.10428,0.259287,5.16512,0.0916353
397,ABT737,SNU-466,All,CTRP2,16,0.0011,37.0,-5.40554,-0.719337,-5.43475,0.993153,69.0069,0.0438467
398,ABT737,SNU-5,All,"CTRP2,GDSC2",21,0.0011,18.0,5.04772,7.9197,2.96655,0.338147,3.85363,0.115183
399,ABT737,SNU-668,All,CTRP2,14,0.0011,18.0,6.48329,11.945,1.99965,0.282792,5.87735,0.0416642
400,ABT737,SNU-899,All,CTRP2,14,0.0011,18.0,6.36987,7.62693,3.76728,0.0209325,0.0864602,0.02081
401,ABT737,TE-10,All,CTRP2,14,0.0011,18.0,5.88771,10.0804,2.49422,0.289005,4.64602,0.0527437
402,ABT737,TE-9,All,"CTRP2,GDSC2",23,0.0011,37.0,6.91614,10.5373,3.79783,0.262002,3.3292,0.123283
403,ABT737,YD-10B,All,CTRP2,14,0.0011,18.0,5.33538,8.55067,2.85809,0.310788,3.89062,0.042089
404,ABT737,YD-15,All,CTRP2,14,0.0011,18.0,5.4146,6.91138,3.64504,0.138578,0.725926,0.0248019
405,ABT737,YD-38,All,CTRP2,16,0.0011,37.0,6.59384,7.71467,4.83924,0.0621573,0.217687,0.0251697
406,ABT737,LOU-NH91,All,"CTRP2,GDSC2",23,0.0011,37.0,1.0635,3.97744,0.951931,0.957961,27.9467,0.0961158
407,ABT737,MOLT-16,All,"CTRP2,GDSC2",23,0.0011,37.0,-2.33917,2.1876,-2.44216,0.97501,50.1878,0.127581
408,ABT737,RCH-ACV,All,CTRP2,16,0.0011,37.0,0.490362,3.01471,0.453177,0.983818,31.5053,0.100217
409,ABT737,FU-OV-1,All,"CTRP2,GDSC2",23,0.0011,37.0,3.60652,8.61361,2.03861,0.668942,16.7106,0.0892642
410,ABT737,MONO-MAC-6,All,"CTRP2,GDSC2",23,0.0011,37.0,0.561302,17.1772,-4.98303,0.649002,41.3035,0.0984793
411,ABT737,SU-DHL-8,All,"CTRP2,GDSC2",23,0.0011,37.0,3.71864,5.89727,3.35386,0.818102,11.2376,0.166175
412,ABT737,SW1573,All,"CTRP2,GDSC2",23,0.0011,37.0,2.1074,6.09514,1.54666,0.846735,22.6196,0.103636
413,ABT737,CL1-1,All,CTRP2,16,0.0011,37.0,2.77845,5.33693,2.52054,0.889707,17.0708,0.0543926
414,ABT737,KARPAS-620,All,"CTRP2,GDSC2",23,0.0011,37.0,9.43662,20.7506,0.616342,0.305565,11.6837,0.208455
415,ABT737,MOLP-2,All,CTRP2,16,0.0011,37.0,1.79694,4.32243,1.68456,0.951152,23.0755,0.0663682
416,ABT737,NCI-H2087,All,"CTRP2,GDSC2",23,0.0011,37.0,1.64391,4.96019,1.3834,0.913913,24.6091,0.0781303
417,ABT737,KALS-1,All,"CTRP2,GDSC2",23,0.0011,37.0,6.26401,14.5692,1.37674,0.430701,13.8069,0.0740899
418,ABT737,CAL-78,All,"CTRP2,GDSC2",23,0.0011,37.0,1.90952,5.28411,1.58747,0.895539,23.0663,0.15168
419,ABT737,L-363,All,"CTRP2,GDSC2",23,0.0011,37.0,9.44313,22.1136,-0.0278726,0.32428,13.6984,0.0806337
420,ABT737,MCAS,All,CTRP2,16,0.0011,37.0,6.29555,10.2192,3.54183,0.352467,5.15925,0.0611575
421,ABT737,MHH-CALL-3,All,CTRP2,16,0.0011,37.0,-2.88161,20.4204,-9.869,0.68199,51.2948,0.11287
422,ABT737,UM-SCC-25,All,CTRP2,16,0.0011,37.0,5.00255,15.0477,0.116868,0.511313,20.6053,0.0603282
423,ABT737,SR,All,"CTRP2,GDSC2",23,0.0011,37.0,8.30033,19.8885,0.259016,0.35754,14.4078,0.111109
424,ABT737,HEC-50B,All,CTRP2,16,0.0011,37.0,5.4478,11.2795,2.3707,0.477565,11.4034,0.0528516
425,ABT737,SU-DHL-6,All,"CTRP2,GDSC2",23,0.0011,37.0,0.537515,3.53975,0.450858,0.9683,31.3562,0.125724
426,ABT737,NCI-H520,All,"CTRP2,GDSC2",23,0.0011,37.0,5.03238,8.3056,3.51145,0.529681,7.4724,0.058631
427,ABT737,DBTRG-05MG,All,"CTRP2,GDSC2",23,0.0011,37.0,7.40532,9.47212,4.51296,0.0883106,0.578331,0.120616
428,ABT737,KELLY,All,"CTRP2,GDSC2",23,0.0011,37.0,4.85812,14.8433,0.0967038,0.519318,20.9675,0.135332
429,ABT737,MDA-MB-231,All,"CTRP2,GDSC2",23,0.0011,37.0,8.42111,16.8414,1.80281,0.301944,8.94355,0.102123
430,ABT737,MELJUSO,All,"CTRP2,GDSC2",23,0.0011,37.0,9.40249,20.3729,0.772656,0.301575,11.2192,0.0681252
431,ABT737,NB1,All,"CTRP2,GDSC2",23,0.0011,37.0,8.87373,24.2033,-1.43393,0.371635,18.4819,0.0885401
432,ABT737,RT-112,All,"CTRP2,GDSC2",23,0.0011,37.0,7.42832,8.72851,4.79237,0.022984,0.0914991,0.0441945
433,ABT737,SUP-T1,All,"CTRP2,GDSC2",23,0.0011,37.0,7.35014,9.42195,4.50839,0.0936154,0.616324,0.072638
434,ABT737,CCK-81,All,"CTRP2,GDSC2",23,0.0011,37.0,7.12997,15.4362,1.59488,0.375655,11.5601,0.114082
435,ABT737,COLO201,All,CTRP2,16,0.0011,37.0,11.9648,25.6542,-0.0822955,0.252698,10.8331,0.0658854
436,ABT737,KARPAS-299,All,"CTRP2,GDSC2",23,0.0011,37.0,9.11339,16.3037,2.47908,0.232728,5.69839,0.0447633
437,ABT737,KP-N-SI9S,All,CTRP2,16,0.0011,37.0,9.86345,23.1239,-0.229177,0.316229,13.7483,0.0594998
438,ABT737,MOLT-13,All,"CTRP2,GDSC2",23,0.0011,37.0,0.873325,17.3218,-4.75412,0.64089,40.2975,0.305013
439,ABT737,NB4,All,CTRP2,16,0.0011,37.0,9.93767,22.2314,0.242668,0.30047,12.2241,0.109147
440,ABT737,RAJI,All,"CTRP2,GDSC2",23,0.0011,37.0,10.7956,23.4152,0.233901,0.274361,11.2099,0.0634572
441,ABT737,REH,All,"CTRP2,GDSC2",23,0.0011,37.0,0.384082,5.97841,-0.285042,0.869349,34.155,0.131597
442,ABT737,EFE-184,All,CTRP2,16,0.0011,37.0,3.61307,4.67524,3.57874,0.964508,10.732,0.0567215
443,ABT737,HSC-4,All,"CTRP2,GDSC2",23,0.0011,37.0,2.85745,5.76207,2.47297,0.855597,17.0111,0.0700503
444,ABT737,HUH-6,All,CTRP2,16,0.0011,37.0,2.35707,4.99834,2.15157,0.914733,19.6803,0.0863834
445,ABT737,SW1088,All,"CTRP2,GDSC2",23,0.0011,37.0,5.52509,10.705,2.72008,0.466578,9.82892,0.0544285
446,ABT737,SK-MEL-31,All,CTRP2,16,0.0011,37.0,1.17675,7.79108,-0.0913855,0.792429,30.9638,0.106998
447,ABT737,SNU-407,All,"CTRP2,GDSC2",23,0.0011,37.0,5.38206,10.4243,2.74446,0.481205,9.99436,0.0360016
