,standard_drug_name,cellosaurus_id,dataset,info,n_dosage,min_dosage,max_dosage,IC50,IC90,EC50,Einf,AUC,fitted_mae
724,3-Cl-AHPC,SF268,All,CTRP2,16,0.002,66.0,-0.247232,3.31717,-0.31299,0.979735,42.087,0.0638621
725,3-Cl-AHPC,SF539,All,CTRP2,16,0.002,66.0,-1.43402,0.482964,-1.43435,0.999811,49.8223,0.0519765
726,3-Cl-AHPC,TUHR14TKB,All,CTRP2,16,0.002,66.0,6.0772,8.66399,4.76183,0.493034,5.32806,0.10999
727,3-Cl-AHPC,U-251MG,All,CTRP2,16,0.002,66.0,3.07134,7.26017,2.4022,0.826281,22.2075,0.0665904
728,3-Cl-AHPC,DMS53,All,CTRP2,16,0.002,66.0,-0.403969,3.52573,-0.498621,0.973545,43.1805,0.0735695
729,3-Cl-AHPC,HEC-1-A,All,CTRP2,16,0.002,66.0,2.3321,5.51742,2.12383,0.928291,25.4465,0.0564447
730,3-Cl-AHPC,IGR-37,All,CTRP2,16,0.002,66.0,1.83084,3.14014,1.82983,0.999151,28.0747,0.072767
731,3-Cl-AHPC,KNS-62,All,CTRP2,16,0.002,66.0,2.84204,6.58002,2.38988,0.867884,22.9296,0.0658064
732,3-Cl-AHPC,MDA-MB-157,All,CTRP2,16,0.002,66.0,-1.84215,3.55825,-2.03316,0.961162,52.3115,0.134412
733,3-Cl-AHPC,NCI-H1563,All,CTRP2,16,0.002,66.0,5.32398,6.06775,5.25168,0.893616,5.05318,0.0976965
734,3-Cl-AHPC,OC314,All,CTRP2,16,0.002,66.0,-1.70848,-0.979113,-1.70848,1.0,51.6508,0.0277023
735,3-Cl-AHPC,UO-31,All,CTRP2,16,0.002,66.0,0.0962355,4.01349,-0.026271,0.965656,39.9692,0.103443
736,3-Cl-AHPC,BICR56,All,CTRP2,16,0.002,66.0,2.22923,5.714,1.96614,0.917249,26.3208,0.0914669
737,3-Cl-AHPC,CAL-33,All,CTRP2,16,0.002,66.0,1.13592,3.95676,1.08099,0.978613,32.8826,0.0888447
