,dataset,effect_size_mutation,pvalue_mutation,provided_effect_size_mutation,provided_pvalue_mutation,correlation_expression,pvalue_expression,provided_correlation_expression,provided_pvalue_expression
0,CTRP2,-1.65187,0.0985602,,,,,,
1,All,-2.83786,0.00454166,,,,,,
